transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2022-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,2851.0,141.28
2022-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,5162.0,0.0
2022-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,2587.0,141.28
2022-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,2968.0,0.0
2022-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,5687.0,0.0
2022-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,5162.0,0.0
2022-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,971.0,0.0
2022-06-07,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Rst. Stock Unit,D,3885.0,0.0
2022-06-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,2880.0,0.0
2022-06-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1471.0,141.975
2022-06-07,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Common Stock,D,1898.0,141.975
2022-06-07,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Common Stock,A,3885.0,0.0
2022-06-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,2880.0,0.0
2022-06-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,D,1435.0,0.0
2022-06-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,795.0,141.975
2022-06-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,1435.0,0.0
2022-06-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,3885.0,0.0
2022-06-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1948.0,141.975
2022-06-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3885.0,0.0
2022-06-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,4020.0,0.0
2022-06-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,1986.0,141.975
2022-06-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,4020.0,0.0
2022-06-07,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,478.0,0.0
2022-06-07,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,245.0,141.975
2022-06-07,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,478.0,0.0
2022-06-02,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,1600.0,139.0406
2022-06-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1615.0,0.0
2022-06-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,752.0,139.48
2022-06-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1615.0,0.0
2022-05-19,IBM,"INTERNATIONAL, BUSINESS MACHINES CORP",10% Owner,Cash-Settled Swap,A,22301536.0,13.95
2022-05-19,IBM,"INTERNATIONAL, BUSINESS MACHINES CORP",10% Owner,"Common stock, par value $0.01 per share",D,22301536.0,13.95
2022-05-09,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,53.0,0.0
2022-05-09,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Phantom Stock Unit,A,302.0,0.0
2022-05-09,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,111.0,0.0
2022-05-09,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,210.0,0.0
2022-05-09,IBM,"DEL, BENE ROBERT F","VP, Controller",Phantom Stock Unit,A,45.0,0.0
2022-03-31,IBM,"ESKEW, MICHAEL L",Director,Promised Fee Share,A,715.0,130.02
2022-03-31,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,625.0,130.02
2022-03-31,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,375.0,130.02
2022-03-31,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,677.0,130.02
2022-03-31,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,563.0,130.02
2022-03-31,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,645.0,130.02
2022-03-31,IBM,"SWEDISH, JOSEPH",Director,Promised Fee Share,A,625.0,130.02
2022-03-31,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,625.0,130.02
2022-03-31,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,638.0,130.02
2022-03-31,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,664.0,130.02
2022-03-31,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,625.0,130.02
2022-03-31,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,625.0,130.02
2022-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Emp. Stock Option (right to buy),A,52559.0,0.0
2022-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,A,13520.0,0.0
2022-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Emp. Stock Option (right to buy),A,94606.0,0.0
2022-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,A,20655.0,0.0
2022-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Emp. Stock Option (right to buy),A,144537.0,0.0
2022-02-21,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Rst. Stock Unit,A,9764.0,0.0
2022-02-21,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Emp. Stock Option (right to buy),A,68327.0,0.0
2022-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,A,4206.0,0.0
2022-02-21,IBM,"DEL, BENE ROBERT F","VP, Controller",Emp. Stock Option (right to buy),A,16819.0,0.0
2022-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,A,10891.0,0.0
2022-02-21,IBM,"COHN, GARY D",Vice Chairman,Emp. Stock Option (right to buy),A,76211.0,0.0
2022-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,A,7511.0,0.0
2022-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Emp. Stock Option (right to buy),A,29433.0,0.0
2022-02-21,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,A,2404.0,0.0
2022-02-10,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,53.0,0.0
2022-02-10,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,208.0,0.0
2022-02-10,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Phantom Stock Unit,A,299.0,0.0
2022-02-10,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,110.0,0.0
2022-02-10,IBM,"DEL, BENE ROBERT F","VP, Controller",Phantom Stock Unit,A,45.0,0.0
2022-02-01,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,7875.0,134.205
2022-02-01,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1885.0,134.205
2022-02-01,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,42657.0,134.205
2022-02-01,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,17899.0,0.0
2022-02-01,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,4004.0,0.0
2022-02-01,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,5682.0,134.205
2022-02-01,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,13270.0,0.0
2022-02-01,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,1469.0,134.205
2022-02-01,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,3561.0,0.0
2022-02-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1187.0,0.0
2022-02-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,460.0,134.205
2022-02-01,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Common Stock,A,17899.0,0.0
2022-02-01,IBM,"ROSAMILIA, THOMAS W",Senior Vice President,Common Stock,D,7626.0,134.205
2022-02-01,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,18516.0,0.0
2022-02-01,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,88602.0,0.0
2022-02-01,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,9147.0,134.205
2022-01-04,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,5112.0,0.0
2022-01-04,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,2220.0,137.93
2022-01-04,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,5112.0,0.0
2021-12-31,IBM,"ESKEW, MICHAEL L",Director,Promised Fee Share,A,739.0,133.66
2021-12-31,IBM,"SWEDISH, JOSEPH",Director,Promised Fee Share,A,608.0,133.66
2021-12-31,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,446.0,133.66
2021-12-31,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,646.0,133.66
2021-12-31,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,608.0,133.66
2021-12-31,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,608.0,133.66
2021-12-31,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,608.0,133.66
2021-12-31,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,608.0,133.66
2021-12-31,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,646.0,133.66
2021-12-31,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,548.0,133.66
2021-12-31,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,365.0,133.66
2021-12-31,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,608.0,133.66
2021-12-28,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,33672.0,0.0
2021-12-28,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,33672.0,0.0
2021-12-28,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,19322.0,132.395
2021-12-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,25.0,123.11
2021-12-13,IBM,"HOWARD, MICHELLE J",Director,Common Stock,A,80.0,123.76
2021-12-11,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,408.0,124.345
2021-12-11,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,12281.0,124.345
2021-12-11,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,24194.0,0.0
2021-12-11,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,802.0,0.0
2021-12-11,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,24996.0,0.0
2021-11-30,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,26.0,117.1
2021-11-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,26.0,118.87
2021-11-09,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,57.0,0.0
2021-11-09,IBM,"DEL, BENE ROBERT F","VP, Controller",Phantom Stock Unit,A,49.0,0.0
2021-11-09,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,227.0,0.0
2021-11-09,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,119.0,0.0
2021-11-03,IBM,"INTERNATIONAL, BUSINESS MACHINES CORP","Director, 10% Owner","Common stock, par value $0.01 per share",D,179532969.0,0.0
2021-10-29,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,25.0,125.1
2021-10-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,21.0,144.61
2021-09-30,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,138.93
2021-09-30,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,585.0,138.93
2021-09-30,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,585.0,138.93
2021-09-30,IBM,"SWEDISH, JOSEPH",Director,Promised Fee Share,A,585.0,138.93
2021-09-30,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,585.0,138.93
2021-09-30,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,621.0,138.93
2021-09-30,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,527.0,138.93
2021-09-30,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,621.0,138.93
2021-09-30,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,585.0,138.93
2021-09-30,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,351.0,138.93
2021-09-30,IBM,"ESKEW, MICHAEL L",Director,Promised Fee Share,A,711.0,138.93
2021-09-30,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,585.0,138.93
2021-09-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,23.0,137.2
2021-08-31,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,140.34
2021-08-18,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,4033.0,0.0
2021-08-18,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,1968.0,140.645
2021-08-18,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,4033.0,0.0
2021-08-13,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,143.18
2021-08-09,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,95.0,0.0
2021-08-09,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,46.0,0.0
2021-08-09,IBM,"DEL, BENE ROBERT F","VP, Controller",Phantom Stock Unit,A,39.0,0.0
2021-08-09,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,183.0,0.0
2021-07-30,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,140.96
2021-07-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,140.45
2021-06-30,IBM,"SWEDISH, JOSEPH",Director,Promised Fee Share,A,555.0,146.59
2021-06-30,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,589.0,146.59
2021-06-30,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,555.0,146.59
2021-06-30,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,499.0,146.59
2021-06-30,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,589.0,146.59
2021-06-30,IBM,"ESKEW, MICHAEL L",Director,Promised Fee Share,A,674.0,146.59
2021-06-30,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,333.0,146.59
2021-06-30,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,555.0,146.59
2021-06-30,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,555.0,146.59
2021-06-30,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,21.0,146.59
2021-06-30,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,555.0,146.59
2021-06-30,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,555.0,146.59
2021-06-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,21.0,149.36
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,1446.0,149.16
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,3008.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,1082.0,149.16
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,250.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,864.0,149.16
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,A,5538.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,D,858.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,D,937.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,D,1623.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,1750.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,857.0,149.16
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,2078.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1018.0,149.16
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1531.0,149.16
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,A,11508.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,1750.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,2078.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,3125.0,0.0
2021-06-08,IBM,"WHITEHURST, JAMES M",President,Common Stock,A,7813.0,0.0
2021-06-08,IBM,"WHITEHURST, JAMES M",President,Common Stock,D,3533.0,149.16
2021-06-08,IBM,"WHITEHURST, JAMES M",President,Rst. Stock Unit,A,26650.0,0.0
2021-06-08,IBM,"WHITEHURST, JAMES M",President,Rst. Stock Unit,D,7813.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,2250.0,0.0
2021-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,3125.0,0.0
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,93.0,149.16
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,173.0,149.16
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,A,5330.0,0.0
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,85.0,149.16
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,250.0,0.0
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,273.0,0.0
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,273.0,0.0
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,507.0,0.0
2021-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,507.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,435.0,149.16
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,937.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,499.0,149.16
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,1623.0,0.0
2021-06-08,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,858.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,5505.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,2871.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,2000.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,A,19988.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,2667.0,149.16
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,5505.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1391.0,149.16
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,2871.0,0.0
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,969.0,149.16
2021-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,2000.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,9767.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,3008.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,2250.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,A,33313.0,0.0
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,4694.0,149.16
2021-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,9767.0,0.0
2021-06-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,3891.0,0.0
2021-06-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,3761.0,0.0
2021-06-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,D,1389.0,0.0
2021-06-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,D,531.0,147.96
2021-06-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Common Stock,A,1389.0,0.0
2021-06-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,2788.0,0.0
2021-06-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,3891.0,0.0
2021-06-07,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,463.0,0.0
2021-06-07,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,158.0,147.96
2021-06-07,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,463.0,0.0
2021-06-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1366.0,147.96
2021-06-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,2788.0,0.0
2021-06-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1822.0,147.96
2021-06-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3761.0,0.0
2021-06-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,1870.0,147.96
2021-06-03,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,625.0,144.965
2021-06-03,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1837.0,0.0
2021-06-03,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1837.0,0.0
2021-05-28,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,143.74
2021-05-16,IBM,"WHITEHURST, JAMES MOON",President,Common Stock,D,12072.0,145.11
2021-05-15,IBM,"WHITEHURST, JAMES MOON",President,Common Stock,D,16141.0,145.11
2021-05-14,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,21.0,144.68
2021-05-07,IBM,"DEL, BENE ROBERT F","VP, Controller",Phantom Stock Unit,A,38.0,0.0
2021-05-07,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,90.0,0.0
2021-05-07,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,176.0,0.0
2021-05-07,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,45.0,0.0
2021-04-30,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,22.0,141.88
2021-04-16,IBM,"WHITEHURST, JAMES MOON",President,Common Stock,D,2241.0,133.59
2021-04-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,23.0,132.58
2021-03-31,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,648.0,133.26
2021-03-31,IBM,"TAUREL, SIDNEY",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"SWEDISH, JOSEPH",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,610.0,133.26
2021-03-31,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,23.0,133.26
2021-03-31,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,366.0,133.26
2021-03-31,IBM,"ESKEW, MICHAEL L",Director,Promised Fee Share,A,742.0,133.26
2021-03-31,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,648.0,133.26
2021-03-31,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,549.0,133.26
2021-03-15,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,24.0,128.58
2021-03-01,IBM,"DEL, BENE ROBERT F","VP, Controller",Rst. Stock Unit,A,15948.0,0.0
2021-02-26,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,26.0,118.93
2021-02-12,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,26.0,120.8
2021-02-09,IBM,"DEL, BENE ROBERT F","VP, Controller",Phantom Stock Unit,A,44.0,0.0
2021-02-09,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,52.0,0.0
2021-02-09,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,206.0,0.0
2021-02-09,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,103.0,0.0
2021-02-08,IBM,"HOWARD, MICHELLE J",Director,Common Stock,A,64.0,123.3
2021-02-01,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,15144.0,0.0
